,Breed,Links,Net,Images
222,Soft Coated Wheaten Terrier,1.0,synset?wnid=n02098105,1581.0
226,St Bernard,1.0,synset?wnid=n02109525,1555.0
228,Staffordshire Bull Terrier,1.0,synset?wnid=n02093256,2071.0
229,Standard Schnauzer,1.0,synset?wnid=n02097209,1041.0
230,Sussex Spaniel,1.0,synset?wnid=n02102480,1070.0
234,Tibetan Mastiff,1.0,synset?wnid=n02108551,1419.0
236,Tibetan Terrier,1.0,synset?wnid=n02097474,775.0
243,Vizsla,1.0,synset?wnid=n02100583,2335.0
244,Weimaraner,1.0,synset?wnid=n02092339,1722.0
245,Welsh Springer Spaniel,1.0,synset?wnid=n02102177,1084.0
246,Welsh Terrier,1.0,synset?wnid=n02095727,1425.0
247,West Highland White Terrier,1.0,synset?wnid=n02098286,1575.0
248,Whippet,1.0,synset?wnid=n02091134,1657.0
254,Yorkshire Terrier,1.0,synset?wnid=n02094433,3048.0
